id,sender,text,chat,timestamp
84,8,Как приятно! А что ты сегодня делаешь?,5,2024-02-28T15:16:57+03:00
85,4,"Ничего особенного, просто отдыхаю дома.",5,2024-02-28T15:17:20+03:00
86,8,"Понятно. Наверное, ты устала.",5,2024-02-28T15:17:36+03:00
87,4,Немного. Но скоро выходные!,5,2024-02-28T15:17:55+03:00
88,8,"Да, это правда. У тебя уже есть планы?",5,2024-02-28T15:18:27+03:00
89,4,"Не совсем, но думаю посмотреть новое кино.",5,2024-02-28T15:18:59+03:00
90,8,Какие фильмы собираешься смотреть?,5,2024-02-28T15:19:37+03:00
91,4,"Ещё не решила. Может, порекомендуешь что-нибудь?",5,2024-02-28T15:20:18+03:00
92,8,Конечно! Есть несколько хороших фильмов.,5,2024-02-28T15:20:55+03:00
93,4,"Отлично, спасибо! Я обязательно посмотрю.",5,2024-02-28T15:21:25+03:00
94,8,"Не за что. Кстати, как твои планы на выходные?",5,2024-02-28T15:22:09+03:00
95,4,Мы с друзьями собираемся встретиться в кафе.,5,2024-02-28T15:22:38+03:00
96,8,"Как здорово! Надеюсь, у вас будет весело.",5,2024-02-28T15:23:19+03:00
97,4,Спасибо! Ты что-нибудь интересное планируешь?,5,2024-02-28T15:23:53+03:00
98,8,"Ничего особенного. Возможно, поеду на природу.",5,2024-02-28T15:24:34+03:00
99,4,"Звучит замечательно! Погода, наверное, будет хорошая.",5,2024-02-28T15:25:04+03:00
100,8,"Надеюсь. В любом случае, будет отличный день.",5,2024-02-28T15:25:43+03:00
101,4,"У тебя всегда такой оптимизм, это здорово!",5,2024-02-28T15:26:18+03:00
102,8,Спасибо! Ты тоже всегда на позитиве.,5,2024-02-28T15:27:00+03:00
103,4,Попробую сохранить этот настрой. Как прошел твой день?,5,2024-02-28T15:27:21+03:00
104,8,"Неплохо, но было много работы.",5,2024-02-28T15:27:48+03:00
105,4,"Такое бывает. Надеюсь, вечер у тебя будет свободным.",5,2024-02-28T15:28:04+03:00
106,8,"Да, я тоже надеюсь на это. Всегда приятно поговорить с тобой!",5,2024-02-28T15:28:25+03:00
107,4,"Да, согласна! Удачи в оставшемся дне!",5,2024-02-28T15:28:50+03:00
108,10,Привет! Ты тут вообще?,6,2024-02-28T16:07:02+03:00
109,1,Привет! Ты следишь за курсом биткоина?,7,2024-02-29T07:56:19+03:00
110,14,"Здравствуй! Да, конечно, это же наш новый экономический мир.",7,2024-02-29T07:56:44+03:00
111,1,А что ты думаешь о его текущем состоянии?,7,2024-02-29T07:57:22+03:00
112,14,"Ну, в последнее время волатильность высока, но я верю в его потенциал.",7,2024-02-29T07:57:46+03:00
113,1,"Точно, биткоин всегда был в центре внимания инвесторов.",7,2024-02-29T07:58:31+03:00
114,14,А как насчет альткоинов? Есть какие-то предпочтения?,7,2024-02-29T07:59:10+03:00
115,1,"Я больше склоняюсь к эфиру, но тоже следую за некоторыми альтами.",7,2024-02-29T07:59:48+03:00
116,14,"Понятно, эфир тоже обещает многое в будущем.",7,2024-02-29T08:00:20+03:00
117,1,"Да, особенно с переходом на Ethereum 2.0.",7,2024-02-29T08:00:38+03:00
118,14,"Согласен, это может привести к изменениям во всей индустрии.",7,2024-02-29T08:00:55+03:00
119,1,"А ты как думаешь, стоит инвестировать в децентрализованные финансы?",7,2024-02-29T08:01:36+03:00
120,14,"Я думаю, это интересное направление, но нужно быть осторожным.",7,2024-02-29T08:02:13+03:00
121,1,"Понятно, риски здесь высоки, но и потенциальная прибыль велика.",7,2024-02-29T08:02:28+03:00
122,14,"Именно так, нужно быть готовым к колебаниям рынка.",7,2024-02-29T08:03:07+03:00
123,1,А ты уже пользуешься DeFi продуктами?,7,2024-02-29T08:03:25+03:00
124,14,"Немного экспериментировал, но пока не в полной мере.",7,2024-02-29T08:03:59+03:00
125,1,"Понятно, я тоже осваиваю эту сферу постепенно.",7,2024-02-29T08:04:35+03:00
126,14,"Давай следить за развитием рынка вместе, вместе всегда интереснее!",7,2024-02-29T08:05:06+03:00
127,8,Привет! Как твоя кошка?,5,2024-03-01T23:14:06+03:00
128,4,Здравствуй! Она великолепно! Сегодня весь день лежала на солнце.,5,2024-03-01T23:15:27+03:00
129,8,"Какая милашка! У меня тоже кошка, она любит играть с клубком ниток.",5,2024-03-01T23:16:32+03:00
130,4,"О, как забавно! А твою кошку как зовут?",5,2024-03-01T23:18:06+03:00
131,8,Её зовут Мурка. А твоя?,5,2024-03-01T23:19:02+03:00
132,4,Моя кошка - Луна. Она очень ласковая и игривая.,5,2024-03-01T23:19:21+03:00
133,8,Как здорово! А что она любит делать наиболее?,5,2024-03-01T23:20:44+03:00
134,4,Луна обожает лазить по деревьям и ловить бабочек.,5,2024-03-01T23:21:26+03:00
135,8,Мурка тоже любит лазить по высоким местам. Они такие смелые!,5,2024-03-01T23:22:27+03:00
136,4,Правда! Иногда они могут быть настоящими акробатами.,5,2024-03-01T23:23:46+03:00
137,4,А твоя кошка предпочитает спать днем или ночью?,5,2024-03-01T23:24:19+03:00
138,8,"Она, кажется, предпочитает дневной сон, но иногда играет всю ночь.",5,2024-03-01T23:25:47+03:00
139,4,"Мурка, наоборот, обожает спать всю ночь и быть бодрой днем.",5,2024-03-01T23:27:04+03:00
140,4,"Кошки такие загадочные создания, всегда приятно наблюдать за ними.",5,2024-03-01T23:28:23+03:00
141,8,Согласен! Они приносят так много радости и уюта в нашу жизнь.,5,2024-03-01T23:29:10+03:00
142,1,Привет. Почему ты опять опоздал на работу?,8,2024-03-12T08:54:01+03:00
143,12,"Здравствуйте. Извините, я попал в пробку на дороге.",8,2024-03-12T08:54:36+03:00
144,1,Это уже второй раз на этой неделе! Ты должен быть более ответственным!,8,2024-03-12T08:55:08+03:00
145,12,"Я понимаю, извините, это было непредвиденное обстоятельство.",8,2024-03-12T08:56:21+03:00
146,1,Непредвиденные обстоятельства или недостаток планирования с твоей стороны?,8,2024-03-12T08:56:46+03:00
147,12,"Прошу прощения, я постараюсь быть более организованным в будущем. Я обещаю, что больше не повторится.",8,2024-03-12T08:58:14+03:00
148,1,"Надеюсь, что это так. Не дай мне повторить этот разговор.",8,2024-03-12T08:58:33+03:00
149,14,Привет! Ты слышала новости про нашего друга?,9,2024-03-25T13:49:18+03:00
150,4,"Да, что-то интересное случилось?",9,2024-03-25T13:49:35+03:00
151,14,Он недавно начал встречаться с кем-то новым.,9,2024-03-25T13:51:09+03:00
152,4,"О, серьезно? А кто это?",9,2024-03-25T13:52:11+03:00
153,14,"Не знаю точно, но говорят, что это новая коллега по работе.",9,2024-03-25T13:52:26+03:00
154,4,"Интересно, как долго они уже встречаются?",9,2024-03-25T13:53:50+03:00
155,14,"Не уверен, но, кажется, это только начало.",9,2024-03-25T13:54:05+03:00
156,4,"Надеюсь, они счастливы вместе.",9,2024-03-25T13:55:07+03:00
157,14,"А я слышал, что он собирается сменить работу.",9,2024-03-25T13:55:38+03:00
158,4,Да? На что он планирует перейти?,9,2024-03-25T13:56:14+03:00
159,14,"Говорят, что он рассматривает предложение из другой компании.",9,2024-03-25T13:56:48+03:00
160,4,"Ого, это было бы большое изменение для него.",9,2024-03-25T13:57:31+03:00
161,14,"Да, но, кажется, он не совсем удовлетворен текущей работой.",9,2024-03-25T13:58:40+03:00
162,4,"Мне кажется, это хорошее решение для него.",9,2024-03-25T13:58:58+03:00
163,14,А что ты слышала о его планах на отпуск?,9,2024-03-25T13:59:45+03:00
164,4,"Он говорил, что хочет поехать на экзотический остров.",9,2024-03-25T14:01:11+03:00
165,14,"Как здорово! Надеюсь, он планирует меня пригласить.",9,2024-03-25T14:01:53+03:00
166,4,Я тоже бы не отказалась от такого отпуска!,9,2024-03-25T14:03:15+03:00
167,14,"Я думаю, он заслужил хороший отдых после всех своих трудов.",9,2024-03-25T14:03:45+03:00
168,4,"А вообще, как ты думаешь, как он справляется с новой работой?",9,2024-03-25T14:04:39+03:00
169,14,"Не уверен, но, кажется, он доволен.",9,2024-03-25T14:05:33+03:00
170,4,"Неудивительно, учитывая, насколько он талантлив.",9,2024-03-25T14:06:33+03:00
171,14,А что ты думаешь о его последних постах в соцсетях?,9,2024-03-25T14:07:02+03:00
172,4,"Мне кажется, он стал более активным после встречи с новой девушкой.",9,2024-03-25T14:07:32+03:00
173,14,"Да, я тоже заметил, что он чаще делится своими приключениями.",9,2024-03-25T14:08:56+03:00
174,4,"Надеюсь, он не забудет про нас, когда его жизнь станет еще интереснее.",9,2024-03-25T14:09:31+03:00
175,14,"Я думаю, что он всегда останется верным другом.",9,2024-03-25T14:09:56+03:00
176,4,"Точно, но мне было бы интересно узнать больше о его новой девушке.",9,2024-03-25T14:10:15+03:00
177,14,"Мне тоже! Надеюсь, мы скоро сможем ее встретить.",9,2024-03-25T14:10:40+03:00
178,4,"Да, это было бы здорово провести время вместе.",9,2024-03-25T14:11:21+03:00
179,4,Мы можем устроить вечеринку или поехать в ресторан.,9,2024-03-25T14:12:19+03:00
180,14,Хорошая идея! Обязательно предложу ему это.,9,2024-03-25T14:13:54+03:00
181,4,"Хорошо, я тоже скажу ему о наших планах.",9,2024-03-25T14:15:17+03:00
182,14,Всегда приятно обсуждать нашего друга с тобой.,9,2024-03-25T14:15:35+03:00
183,4,"Да, согласна! Надеюсь, его жизнь будет наполнена только хорошими событиями.",9,2024-03-25T14:15:50+03:00
184,13,Hey! Hast du einen Hund?,10,2024-03-25T16:10:15+03:00
185,1,"Hallo! Ja, ich habe einen Golden Retriever. Und du?",10,2024-03-25T16:10:52+03:00
186,13,"Ich habe auch einen Hund, einen Deutschen Schäferhund.",10,2024-03-25T16:12:14+03:00
187,1,Das ist toll! Wie heißt dein Hund?,10,2024-03-25T16:12:31+03:00
188,13,Mein Hund heißt Bruno. Er ist sehr verspielt und liebevoll.,10,2024-03-25T16:13:29+03:00
189,1,Das klingt nach einem großartigen Begleiter! Bruno ist ein cooler Name.,10,2024-03-25T16:15:04+03:00
190,13,Danke! Wie ist dein Deutscher Schäferhund?,10,2024-03-25T16:16:30+03:00
191,1,Max ist sehr intelligent und beschützend. Er ist auch ein großartiger Wachhund.,10,2024-03-25T16:17:28+03:00
192,13,Klingt nach einem treuen Freund! Habt ihr viele Spaziergänge zusammen?,10,2024-03-25T16:18:10+03:00
193,1,"Ja, wir gehen jeden Tag spazieren. Es hält uns beide fit.",10,2024-03-25T16:19:44+03:00
194,13,"Hast du schon mal darüber nachgedacht, deinem Hund Tricks beizubringen?",10,2024-03-25T16:20:18+03:00
195,1,"Ja, wir üben ein paar einfache Tricks. Wie sieht es bei dir aus?",10,2024-03-25T16:21:23+03:00
196,13,"Ich habe meinem Hund beigebracht, auf Befehl zu sitzen und die Pfote zu geben.",10,2024-03-25T16:21:41+03:00
197,1,"Das ist großartig! Es ist erstaunlich, wie schnell Hunde lernen können.",10,2024-03-25T16:23:05+03:00
198,13,Stimmt! Sie sind so klug und aufmerksam.,10,2024-03-25T16:24:05+03:00
199,1,Hast du spezielle Spielzeuge für deinen Hund?,10,2024-03-25T16:24:33+03:00
200,13,"Ja, ich habe einige Kauspielzeuge und einen Ball für Max.",10,2024-03-25T16:25:04+03:00
201,1,Das klingt nach viel Spaß! Hunde machen das Leben wirklich besser.,10,2024-03-25T16:26:05+03:00
202,4,Привет! Как дела?,9,2024-03-25T19:13:16+03:00
203,14,"Привет! Всё отлично, спасибо! А у тебя?",9,2024-03-25T19:13:38+03:00
204,4,"Неплохо, только что вернулась с работы.",9,2024-03-25T19:14:13+03:00
205,14,Понятно. Что сегодня интересного было?,9,2024-03-25T19:14:32+03:00
206,4,"Ничего особенного, обычный рабочий день.",9,2024-03-25T19:15:23+03:00
207,14,Понимаю. Уже готова к выходным?,9,2024-03-25T19:16:12+03:00
208,4,"О да, с нетерпением жду!",9,2024-03-25T19:17:44+03:00
209,14,Планируешь что-то интересное?,9,2024-03-25T19:18:10+03:00
210,4,"Немного отдохнуть дома, может быть посмотрю фильм.",9,2024-03-25T19:19:11+03:00
211,14,Это звучит как отличный план!,9,2024-03-25T19:20:37+03:00
212,4,"Согласна, пора бы и расслабиться.",9,2024-03-25T19:21:15+03:00
213,4,Как твоя семья?,9,2024-03-25T19:21:53+03:00
214,14,"Всё в порядке, спасибо! Как у тебя?",9,2024-03-25T19:23:28+03:00
215,4,"Тоже всё хорошо, только дети растут так быстро.",9,2024-03-25T19:24:29+03:00
216,14,"Это правда, время летит.",9,2024-03-25T19:25:54+03:00
217,14,"Ты слышала о новом ресторане, который открыли недавно?",9,2024-03-25T19:27:27+03:00
218,4,"Да, я читала о нем. Планирую попробовать!",9,2024-03-25T19:28:26+03:00
219,14,"Давай вместе сходим, что скажешь?",9,2024-03-25T19:29:10+03:00
220,4,"Звучит отлично, давно не была на новом месте.",9,2024-03-25T19:30:09+03:00
221,14,"Согласен, будет весело провести время.",9,2024-03-25T19:31:41+03:00
222,14,Как твои планы на вечер?,9,2024-03-25T19:32:37+03:00
223,4,"Думаю, просто посижу дома и почитаю книгу.",9,2024-03-25T19:33:19+03:00
224,14,Это звучит как хороший вечер.,9,2024-03-25T19:34:45+03:00
225,4,"Да, я люблю проводить время в уютной обстановке.",9,2024-03-25T19:35:11+03:00
226,14,А я собираюсь в спортзал сходить.,9,2024-03-25T19:36:10+03:00
227,4,Ты снова заботишься о своей фигуре?,9,2024-03-25T19:36:42+03:00
228,14,"Немного. Лучше поздно, чем никогда.",9,2024-03-25T19:37:55+03:00
229,4,"Ты прав, здоровье важно.",9,2024-03-25T19:39:12+03:00
230,4,Что нового в твоей жизни?,9,2024-03-25T19:39:38+03:00
231,14,"Ничего особенного, просто работа и рутина.",9,2024-03-25T19:40:39+03:00
232,4,Понимаю. Но иногда рутина нужна.,9,2024-03-25T19:41:27+03:00
233,14,"Да, это правда. Как твои проекты на работе?",9,2024-03-25T19:41:53+03:00
234,4,"Неплохо, у меня много работы, но я справляюсь.",9,2024-03-25T19:42:26+03:00
235,14,Ты всегда была хорошим специалистом.,9,2024-03-25T19:43:23+03:00
236,4,"Спасибо, это приятно слышать.",9,2024-03-25T19:44:30+03:00
237,4,А что ты думаешь о последних событиях в мире?,9,2024-03-25T19:45:05+03:00
238,14,"Слишком много стресса вокруг, нужно больше позитива.",9,2024-03-25T19:46:35+03:00
239,4,"Ты прав, лучше фокусироваться на хороших вещах.",9,2024-03-25T19:48:01+03:00
240,4,А ты уже планируешь отпуск на следующий год?,9,2024-03-25T19:49:30+03:00
241,14,"Ещё нет, но хочу поехать куда-нибудь на море.",9,2024-03-25T19:50:15+03:00
242,4,"Звучит замечательно! Может, сходим вместе?",9,2024-03-25T19:51:32+03:00
243,14,"Конечно, это было бы здорово!",9,2024-03-25T19:51:53+03:00
244,14,Я уже начал искать отели в интернете.,9,2024-03-25T19:52:58+03:00
245,4,"Дай мне знать, если найдешь что-то интересное.",9,2024-03-25T19:54:02+03:00
246,14,"Обязательно! Я хочу, чтобы отпуск был незабываемым.",9,2024-03-25T19:55:28+03:00
247,4,Мне тоже. Мы замечательно проведём время!,9,2024-03-25T19:56:47+03:00
248,4,Как твои планы на выходные?,9,2024-03-25T19:57:58+03:00
249,14,"Надеюсь, пойти на прогулку в парке и провести время с семьей.",9,2024-03-25T19:59:17+03:00
250,4,"Это звучит как отличный план. Погода, кажется, будет хорошая.",9,2024-03-25T20:00:01+03:00
251,14,"Да, я тоже надеюсь на солнечные выходные.",9,2024-03-25T20:01:29+03:00
252,4,Какие у тебя любимые места для прогулок?,9,2024-03-25T20:02:27+03:00
253,14,Обычно я предпочитаю парки или близлежащие озера.,9,2024-03-25T20:02:57+03:00
254,4,Это замечательные места для отдыха.,9,2024-03-25T20:04:02+03:00
255,4,А как ты проводишь свои выходные обычно?,9,2024-03-25T20:05:30+03:00
256,14,Я люблю готовить и проводить время с друзьями.,9,2024-03-25T20:06:57+03:00
257,4,Звучит как отличный способ расслабиться и насладиться выходными.,9,2024-03-25T20:08:23+03:00
258,4,Привет! Ты сегодня выглядишь уставшим. Всё в порядке?,9,2024-03-25T23:16:09+03:00
259,14,"Привет! Нет, совсем не могу уснуть в последнее время.",9,2024-03-25T23:16:28+03:00
260,4,"Ох, это звучит неприятно. Что случилось?",9,2024-03-25T23:17:15+03:00
261,14,Просто мои мысли не дают мне покоя в ночное время.,9,2024-03-25T23:18:32+03:00
262,4,Понимаю. Ты пробовал какие-нибудь методы расслабления?,9,2024-03-25T23:19:19+03:00
263,14,"Да, пробовал медитацию и чаи, но пока безуспешно.",9,2024-03-25T23:19:52+03:00
264,4,"Может быть, стоит попробовать вести дневник или выпить теплое молоко перед сном?",9,2024-03-25T23:21:11+03:00
265,14,"Да, я слышал о таких методах. Попробую, спасибо за совет.",9,2024-03-25T23:22:23+03:00
266,4,"Не за что! Ты знаешь, что хороший сон очень важен для здоровья.",9,2024-03-25T23:23:33+03:00
267,14,"Да, я понимаю. Надеюсь, смогу нормализовать свой сон.",9,2024-03-25T23:24:47+03:00
268,4,"Может быть, стоит также посетить врача, если проблемы со сном продолжатся?",9,2024-03-25T23:25:33+03:00
269,14,"Да, возможно, это будет разумным шагом.",9,2024-03-25T23:26:24+03:00
270,4,"Не стесняйся обращаться за помощью, здоровье важнее всего.",9,2024-03-25T23:27:24+03:00
271,14,"Ты права. Спасибо за поддержку, друг.",9,2024-03-25T23:28:19+03:00
272,4,Не за что! Мы все заботимся о твоем благополучии.,9,2024-03-25T23:29:50+03:00
273,4,Давай постараемся найти решение вместе.,9,2024-03-25T23:30:25+03:00
274,14,"Конечно, это звучит как план. Благодарю за поддержку!",9,2024-03-25T23:31:35+03:00
275,4,Привет! Можешь говорить?,9,2024-03-26T14:42:23+03:00
276,14,"Нет, сейчас не могу.",9,2024-03-26T14:43:41+03:00
277,14,Я лечу в самолёте.,9,2024-03-26T14:45:09+03:00
278,14,"Как приземлюсь, позвоню тебе.",9,2024-03-26T14:46:22+03:00
279,14,Привет! Ты любишь путешествовать на поезде?,9,2024-03-26T22:02:04+03:00
280,4,"Привет! Да, поездки на поезде мне нравятся. А ты?",9,2024-03-26T22:02:47+03:00
281,14,Тоже обожаю! Поезда создают такую атмосферу путешествия.,9,2024-03-26T22:03:40+03:00
282,4,В точности! Я часто езжу на поезде на дальние расстояния.,9,2024-03-26T22:04:12+03:00
283,14,А какие маршруты ты предпочитаешь?,9,2024-03-26T22:05:26+03:00
284,4,Обычно выбираю поезда с панорамными окнами для лучшего вида.,9,2024-03-26T22:06:14+03:00
285,14,Это звучит потрясающе! Я люблю путешествовать по живописным местам.,9,2024-03-26T22:07:19+03:00
286,4,"Да, у поезда всегда есть своя особая магия.",9,2024-03-26T22:08:42+03:00
287,14,Как часто ты путешествуешь на поезде?,9,2024-03-26T22:09:31+03:00
288,4,По возможности стараюсь выбирать поезда для всех моих поездок.,9,2024-03-26T22:10:19+03:00
289,14,Понятно. Поезд - удобный и комфортный способ путешествовать.,9,2024-03-26T22:10:54+03:00
290,4,"Именно так! К тому же, ты можешь расслабиться и наслаждаться пейзажами.",9,2024-03-26T22:12:16+03:00
291,14,Какие у тебя воспоминания о поездах из детства?,9,2024-03-26T22:13:04+03:00
292,4,Они часто ассоциируются с приключениями и встречами с новыми людьми.,9,2024-03-26T22:14:36+03:00
293,14,"Да, в поездах всегда много интересных персонажей.",9,2024-03-26T22:15:16+03:00
294,4,Ты путешествовал на поезде заграницу?,9,2024-03-26T22:15:57+03:00
295,14,"Да, я ездил поездом в Европу. Это было незабываемо!",9,2024-03-26T22:16:38+03:00
296,4,Какие впечатления? Сравнимо с поездками внутри страны?,9,2024-03-26T22:17:02+03:00
297,14,"Это совершенно другой опыт, но оба варианта имеют свои плюсы.",9,2024-03-26T22:17:58+03:00
298,4,Я также мечтаю совершить поездку на поезде по Европе.,9,2024-03-26T22:18:24+03:00
299,14,Обязательно рекомендую! Так много красивых мест и городов.,9,2024-03-26T22:19:21+03:00
300,4,"Как ты считаешь, что важнее в поезде: скорость или комфорт?",9,2024-03-26T22:20:12+03:00
301,14,Для меня важнее комфорт. Я предпочитаю наслаждаться путешествием.,9,2024-03-26T22:20:35+03:00
302,4,"Я с тобой согласна. Путешествие - это не только цель, но и процесс.",9,2024-03-26T22:21:28+03:00
303,14,Поезда также могут быть экологически более дружелюбными.,9,2024-03-26T22:21:46+03:00
304,4,"Да, это верно! Экологичные варианты путешествий становятся все популярнее.",9,2024-03-26T22:22:39+03:00
305,14,Как ты обычно проводишь время в поезде?,9,2024-03-26T22:24:05+03:00
